2019-05-31 21:37:42	 本句意圖 上文意圖 態度 [客戶]	 我充值的！没有到账怎么回事
2019-06-01 13:54:37	 本句意圖 上文意圖 態度 [客服]	 老板，请您确认一下，您充值不到帐的那笔订单，是点击我们游戏中哪一个充值渠道进行充值的呢？（尊享闪付、支付宝、支付宝定额、银联、云闪付、微信、充值卡充值）
2019-06-01 14:18:50	 本句意圖 上文意圖 態度 [客戶]	 不绑定银行卡取不出来金币么？
2019-06-01 14:19:32	 本句意圖 上文意圖 態度 [客服]	 亲，您好！现在兑换一定要绑定银行卡才可以进行，银行卡兑换渠道现在只收取1.5%的手续费，请您绑定银行卡再尝试进行兑换即可，祝您游戏愉快！
2019-06-01 14:22:00	 本句意圖 上文意圖 態度 [客戶]	 绑定朋友的可以么？
2019-06-01 14:23:25	 本句意圖 上文意圖 態度 [客服]	 亲，可以的，请您绑定银行卡后再尝试兑换，祝您游戏愉快。
2019-06-01 17:20:32	 本句意圖 上文意圖 態度 [客戶]	 我充值的一百还没给我解决呢？
2019-06-01 17:23:15	 本句意圖 上文意圖 態度 [客服]	 报告老板，由于订单处理可能有点慢，请您耐心等待，您的资金是不会出现损失的。给您带来不便敬请见谅。
2019-06-01 17:30:10	 本句意圖 上文意圖 態度 [客服]	 亲，经技术核实您提供的凭证与订单不一致，请您仔细核对一下，提供正确的充值凭证
2019-06-01 18:55:12	 本句意圖 上文意圖 態度 [客戶]	 什么不一致i
2019-06-01 18:55:56	 本句意圖 上文意圖 態度 [客戶]	 我联系谁？
2019-06-01 18:57:27	 本句意圖 上文意圖 態度 [客服]	 老板，您提供2019-05-31
2019-06-01 19:07:27	 本句意圖 上文意圖 態度 [客戶]	 我把两个订单都发了！qq上了！麻烦给查查
2019-06-01 19:09:10	 本句意圖 上文意圖 態度 [客服]	 报告老板，我们目前已经为您提交给专员处理，正在等待回复中，请您稍等片刻，谢谢。
